speaker_id,speaker_number,speaker_sex,language,language_variety,filename,segment_start,segment_end,duration,timepoint,textgrid_label,segment_type,vowel_quality,phonation,vowel_nasality,tone_contour,number_of_tone_targets,tone_category,language_specific_tone,consonant_aspiration,consonant_nasality,strF0,sF0,pF0,shrF0,sF1,sB1,sF2,sB2,sF3,sB3,sF4,sB4,pF1,pF2,pF3,pF4,H1u,H1c,H2u,H2c,H4u,H4c,A1u,A1c,A2u,A2c,A3u,A3c,H1H2u,H1H2c,H2H4u,H2H4c,H1A1u,H1A1c,H1A2u,H1A2c,H1A3u,H1A3c,Energy,HNR05,HNR15,HNR25,HNR35,CPP,SHR,tone_misc,CQ,CQ_H,CQ_HT,CQ_PM,min_Vel,min_Vel_Time,peak_Vel,peak_Vel_Time,SQ2_SQ1,SQ4_SQ3,ratio,LPhon,SQ,token_id
Gujarati_F2,2,F,Gujarati,,2008-11-21-1330-01_Audio,944.427,1098.549,154.122,5,a,Vowel,a,Modal,Oral,,,,,Unaspirated,,210.769,211.203,214.835,213.098,1019.536,207.101,1569.823,175.253,2566.943,257.256,4433.814,119.234,1215.723,2044.32,4488.765,4762.114,10.059,9.487,11.567,9.137,17.018,2.536,19.499,-10.863,15.371,-9.912,0.669,-10.306,-1.509,0.35,-5.45,6.601,-9.441,20.374,-5.313,19.4,9.389,19.793,3.677,49.519,43.334,41.808,43.355,26.709,0.0,,0.605,0.635,0.673,0.58,-185.676,1022.818,525.729,1020.061,0.391,2.232,0.175,Gujarati-Modal,0.175179211469534,2335006866502821906
Gujarati_F2,2,F,Gujarati,,2008-11-21-1330-01_Audio,2545.151,2725.369,180.218,5,a,Vowel,a,Modal,Oral,,,,,Unaspirated,,207.45,207.119,206.952,206.198,1046.037,149.511,1617.569,154.324,2531.451,185.811,4559.321,186.093,1233.401,2099.975,4657.488,5388.144,8.006,7.502,10.537,8.412,12.82,1.294,22.82,-8.087,17.354,-8.516,7.688,-5.208,-2.532,-0.91,-2.283,7.118,-14.814,15.609,-9.348,16.017,0.317,12.709,5.001,50.14,42.701,40.846,42.901,29.985,0.0,,0.635,0.673,0.741,0.622,-100.775,2636.734,377.612,2633.739,0.443,2.6,0.171,Gujarati-Modal,0.170384615384615,5492233927779795637
Gujarati_F2,2,F,Gujarati,,2008-11-21-1330-01_Audio,4294.446,4478.662,184.216,5,a,Vowel,a,Modal,Oral,,,,,Unaspirated,,200.825,201.0,199.255,199.476,1088.095,255.283,1603.355,232.366,2480.771,204.841,4272.83,171.931,1241.221,2056.792,4349.104,5398.408,11.956,11.496,13.477,11.547,15.069,5.099,23.029,-8.647,20.1,-6.951,8.927,-5.027,-1.521,-0.051,-1.592,6.448,-11.073,20.166,-8.144,18.447,3.029,16.523,7.97,52.132,46.585,46.245,50.005,32.825,0.774,,0.631,0.658,0.7,0.548,-143.382,4387.393,524.69,4384.657,0.318,2.177,0.147,Gujarati-Modal,0.146072576940744,-6455744031191558556
Gujarati_F2,2,F,Gujarati,,2008-11-21-1330-01_Audio,6105.773,6312.631,206.858,5,a,Vowel,a,Modal,Oral,,,,,Unaspirated,,200.715,200.886,199.56,199.714,1060.31,230.582,1533.884,219.038,2529.954,219.399,4275.796,226.372,1256.549,2145.259,4415.546,4443.423,12.295,11.815,12.751,10.735,14.691,4.188,23.153,-8.812,20.971,-6.829,6.979,-4.549,-0.456,1.08,-1.94,6.547,-10.858,20.659,-8.676,18.644,5.317,16.364,8.966,53.006,46.683,46.932,50.101,32.9,0.0,,0.606,0.634,0.676,0.465,-145.573,6210.089,548.349,6208.826,0.389,2.223,0.175,Gujarati-Modal,0.174988753936122,-8493311283678967295
Gujarati_F2,2,F,Gujarati,,2008-11-21-1330-01_Audio,7845.878,8039.09,193.212,5,a,Vowel,a,Modal,Oral,,,,,Unaspirated,,201.838,202.176,201.0,201.422,1116.774,329.108,1581.868,224.019,2689.077,223.221,4373.184,174.664,1263.64,2001.177,4457.242,4740.458,11.552,11.06,12.827,10.757,15.349,4.207,20.145,-11.317,17.129,-9.772,3.315,-6.669,-1.275,0.303,-2.522,6.55,-8.593,22.413,-5.577,20.832,8.237,17.73,4.15,49.691,42.75,43.195,45.24,32.629,0.535,,0.622,0.651,0.692,0.604,-146.381,7944.062,521.525,7941.068,0.349,2.258,0.155,Gujarati-Modal,0.154561558901683,8111925788748111050
Gujarati_F2,2,F,Gujarati,,2008-11-21-1330-01_Audio,9688.187,9887.154,198.967000000001,5,a,Vowel,a,Modal,Oral,,,,,Unaspirated,,199.741,200.152,201.364,199.982,1061.203,209.976,1560.192,168.909,2586.911,196.176,4213.124,195.314,1181.796,1826.645,4304.393,5498.348,11.48,10.994,13.326,11.281,15.909,5.102,23.808,-7.716,19.99,-7.059,4.677,-5.718,-1.846,-0.287,-2.583,6.179,-12.327,18.741,-8.51,18.052,6.803,16.712,8.557,51.036,42.976,43.035,45.445,34.528,0.0,,0.656,0.687,0.735,0.634,-140.11,9789.318,519.157,9786.143,0.329,2.399,0.137,Gujarati-Modal,0.137140475197999,1575789003007419427
Gujarati_F2,2,F,Gujarati,,2008-11-21-1330-02_Audio,420.9,631.734,210.834,5,ah,Vowel,a,Modal,Oral,,,,,Aspirated,,237.202,229.254,242.341,241.05,1144.937,230.282,1739.989,277.206,2885.706,296.911,4149.952,853.871,1248.14,2227.515,3444.761,4535.726,11.198,10.665,1.183,-1.073,-1.76,-14.457,2.093,-30.066,-1.018,-28.242,-9.621,-20.2,10.016,11.738,2.943,13.383,9.105,40.783,12.216,38.907,20.819,30.865,2.318,17.509,20.366,22.494,24.879,17.909,0.0,,0.423,0.454,0.459,0.357,-284.595,535.886,600.623,534.295,0.455,1.205,0.377,Gujarati-Modal,0.377593360995851,3128131793506303029
Gujarati_F2,2,F,Gujarati,,2008-11-21-1330-02_Audio,2253.83,2469.206,215.376,5,ah,Vowel,a,Modal,Oral,,,,,Aspirated,,225.204,219.489,228.676,227.998,1028.471,321.495,1776.571,163.023,2947.555,334.654,4399.42,404.47,946.732,2007.988,3497.845,4497.904,8.014,7.445,-0.904,-3.33,-4.959,-20.121,-5.111,-35.296,-6.065,-30.12,-15.439,-23.268,8.918,10.776,4.055,16.791,13.125,42.775,14.079,37.566,23.453,30.713,0.813,22.972,28.175,30.67,32.088,17.535,0.0,,0.34,0.368,0.398,0.253,-239.493,2370.597,480.514,2369.435,0.779,1.305,0.606,Gujarati-Modal,0.596934865900383,3671241427844128562
Gujarati_F2,2,F,Gujarati,,2008-11-21-1330-02_Audio,4207.836,4411.217,203.380999999999,5,ah,Vowel,a,Modal,Oral,,,,,Aspirated,,204.837,202.728,208.988,205.91,807.377,889.151,1749.629,253.361,2481.808,326.931,3762.37,661.569,998.325,1649.918,3351.301,5267.864,14.548,13.709,8.787,4.992,8.646,-7.666,10.172,-18.314,3.742,-13.407,-10.077,-23.051,5.76,8.717,0.141,12.658,4.376,32.026,10.806,27.116,24.625,36.76,1.676,33.199,33.379,34.505,35.179,24.432,0.557,,0.42,0.448,0.498,0.259,-236.165,4311.571,547.567,4310.293,0.407,1.75,0.238,Gujarati-Modal,0.232571428571429,-3220743882166925657
Gujarati_F2,2,F,Gujarati,,2008-11-21-1330-02_Audio,6184.637,6389.116,204.479,5,ah,Vowel,a,Modal,Oral,,,,,Aspirated,,200.297,198.411,209.512,203.153,1095.113,475.722,1596.863,264.116,3034.227,322.861,4145.007,364.235,1152.594,1362.647,3360.586,4264.736,17.116,16.622,13.517,11.44,14.636,3.538,11.703,-20.019,10.502,-16.68,-3.337,-7.418,3.599,5.183,-1.119,7.902,5.413,36.709,6.614,33.302,20.453,24.04,3.295,26.162,24.314,26.678,27.666,24.694,0.649,,0.432,0.465,0.494,0.274,-210.745,6287.298,533.283,6285.917,0.449,1.723,0.269,Gujarati-Modal,0.260591990713871,-9008172173687374173
